category,industry,interest,name,created_at1,lead_count,last_lead_activity,group_id,user_type,lead_score,geoip_country,geoip_state,geoip_city,created_at,id,key,value,source,offer_category,offer_product,offer_price,offer_created_at,url,referrer,cid,utm_source,utm_medium,utm_campaign,utm_term,utm_content,properties,event_context
교육,유학,무료상담,9가지 초대박 혜택과 유학박람회 무료상담 신청하세요!,2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:11:33.896Z,66ae10666bf68b00074451a4,visited_url,http://lp.iam2.co.kr/landing_eduhouse_0124/,web,상품판매,어학연수,0.0,2022-07-06,http://lp.iam2.co.kr/landing_eduhouse_0124/,,0zn4cwl3u99utg62,1.0,2.0,3.0,4,6.0,"{'value': 'https://usbabyfair.com/sub/sub3-2.php', 'referrer': '', 'page_title': '온라인 사전등록 | 울산베이비&amp;키즈페어', 'ip_address': '106.101.197.109'}",{'ip': '106.101.197.109'}
교육,유학,무료상담,9가지 초대박 혜택과 유학박람회 무료상담 신청하세요!,2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:11:33.896Z,66ae1066643615000c0022aa,캠페인방문완료,2,web,상품판매,어학연수,0.0,2022-07-06,http://lp.iam2.co.kr/landing_eduhouse_0124/,,0zn4cwl3u99utg62,1.0,2.0,3.0,4,6.0,"{'value': 2, 'url': 'https://usbabyfair.com/sub/sub3-2.php', 'key': 'usbabyfair.com/sub/sub3-2.php', 'ip_address': '106.101.197.109', 'UTMConent': '온라인 사전등록 | 울산베이비&amp;키즈페어', 'Referrer': '', 'PageTitle': '온라인 사전등록 | 울산베이비&amp;키즈페어'}",{'ip': '106.101.197.109'}
,,,,2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:11:33.896Z,66ae10663c6fe600064e481e,사이트신청방문,1,web,,,,,,,0zn4cwl3u99utg62,,,,,,"{'value': 1, 'key': 'usbabyfair.com/sub/sub3-2.php', 'ip_address': '106.101.197.109'}",{'ip': '106.101.197.109'}
,,,,2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:11:33.896Z,66ae1068d706a0000636ba8a,added_to_list,669b51e67881df001cbb507b,,,,,,,,0zn4cwl3u99utg62,,,,,,{'value': '669b51e67881df001cbb507b'},"{'satisfaction': {'mask': [['669b51e67f4f2b001982af3c']], 'requirements': [{'_id': '669b51e67f4f2b001982af3c', 'after_seconds': 0, 'appetite': 1, 'appetite_operator': 'greater_than_or_equal', 'before_seconds': 0, 'operator': 'isset', 'positive': True, 'predicate': 'visited_url', 'type': 'visited-url', 'value': '', 'within_type': 'ever'}]}}"
,,,,2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:11:33.896Z,66ae1068d706a0000636ba8b,added_to_list,66872671d579b2001953e029,,,,,,,,0zn4cwl3u99utg62,,,,,,{'value': '66872671d579b2001953e029'},"{'satisfaction': {'mask': [['668726727f4f2b001b80e88d'], 'or', ['668726727881df001cb398cc'], 'or', ['6687267261dda3001a3e59c3'], 'or', ['66872672d579b2f17780716c'], 'or', ['668726727f4f2b00197ad75c']], 'requirements': [{'_id': '668726727f4f2b00197ad75c', 'after_seconds': 0, 'appetite': 1, 'appetite_operator': 'greater_than_or_equal', 'before_seconds': 0, 'operator': 'isset', 'positive': True, 'predicate': '사이트스크롤다운', 'type': 'custom-event', 'value': None, 'within_type': 'ever'}, {'_id': '6687267261dda3001a3e59c3', 'after_seconds': 0, 'appetite': 1, 'appetite_operator': 'greater_than_or_equal', 'before_seconds': 0, 'operator': 'isset', 'positive': True, 'predicate': '페이지방문완료', 'type': 'custom-event', 'value': None, 'within_type': 'ever'}, {'_id': '668726727881df001cb398cc', 'after_seconds': 0, 'appetite': 1, 'appetite_operator': 'greater_than_or_equal', 'before_seconds': 0, 'operator': 'isset', 'positive': True, 'predicate': '사이트방문완료', 'type': 'custom-event', 'value': None, 'within_type': 'ever'}, {'_id': '66872672d579b2f17780716c', 'after_seconds': 0, 'appetite': 1, 'appetite_operator': 'greater_than_or_equal', 'before_seconds': 0, 'operator': 'isset', 'positive': True, 'predicate': 'KeywordTarget', 'type': 'custom-event', 'value': None, 'within_type': 'ever'}, {'_id': '668726727f4f2b001b80e88d', 'after_seconds': 0, 'appetite': 1, 'appetite_operator': 'greater_than_or_equal', 'before_seconds': 0, 'operator': 'isset', 'positive': True, 'predicate': '캠페인방문완료', 'type': 'custom-event', 'value': None, 'within_type': 'ever'}]}}"
,,,,2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:11:33.896Z,66ae10686bf68b00074451b3,added_to_list,66871d047f4f2b001b80e6b8,,,,,,,,0zn4cwl3u99utg62,,,,,,{'value': '66871d047f4f2b001b80e6b8'},"{'satisfaction': {'mask': [['66871d047881df001b5a6f6f']], 'requirements': [{'_id': '66871d047881df001b5a6f6f', 'after_seconds': 0, 'appetite': 1, 'appetite_operator': 'greater_than_or_equal', 'before_seconds': 0, 'operator': 'isset', 'positive': True, 'predicate': '캠페인방문완료', 'type': 'custom-event', 'value': None, 'within_type': 'ever'}]}}"
,,,,2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:11:33.896Z,66ae10686bf68b00074451b7,added_to_list,665bcca77f4f2b00196e0658,,,,,,,,0zn4cwl3u99utg62,,,,,,{'value': '665bcca77f4f2b00196e0658'},"{'satisfaction': {'mask': [['665bcca7d579b2001946894b']], 'requirements': [{'_id': '665bcca7d579b2001946894b', 'after_seconds': 0, 'appetite': 1, 'appetite_operator': 'greater_than_or_equal', 'before_seconds': 0, 'operator': 'isset', 'positive': True, 'predicate': 'visited_url', 'type': 'visited-url', 'value': '', 'within_type': 'ever'}]}}"
,,,,2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:11:33.896Z,66ae10653c6fe600064e480b,스크롤다운,10,web,,,,,,,0zn4cwl3u99utg62,,,,,,"{'value': 10, 'key': 'usbabyfair.com/sub/sub3-2.php', 'ip_address': '106.101.197.109'}",{'ip': '106.101.197.109'}
,,,,2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae102b643615000c001a50,페이지전환완료,1,web,,,,,,,24hdp1xv3u9tz6fb,,,,,,"{'value': 1, 'ip_address': '122.37.16.152', 'URL': 'https://m.n-shine.com/product/detail.html?product_no=761&amp;fbclid=PAZXh0bgNhZW0BMAABpsIjsj8RlEYjJDsifPCWY-SPX_9cJJJS5DMUIi1SblWWVkztP00d6RfVZg_aem_km_pJMjo_8aM8INN8v0DxA', 'Referrer': 'http://instagram.com/'}",{'ip': '122.37.16.152'}
여가,워크숍 컨설팅,무료 체험,"기업체, 단체 워크숍 무료상담 신청하세요!",2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae102bd706a0000636b089,사이트전환완료,1,web,온라인판매,무료 체험,0.0,2023-02-01,http://lp.iam2.co.kr/landing_thearam_0305/,,24hdp1xv3u9tz6fb,7.0,8.0,9.0,10,12.0,"{'value': 1, 'url': 'https://m.n-shine.com/product/detail.html?product_no=761&amp;fbclid=PAZXh0bgNhZW0BMAABpsIjsj8RlEYjJDsifPCWY-SPX_9cJJJS5DMUIi1SblWWVkztP00d6RfVZg_aem_km_pJMjo_8aM8INN8v0DxA', 'product': '맨위로', 'ip_address': '122.37.16.152', 'category': 'undefined', 'Referrer': 'http://instagram.com/'}",{'ip': '122.37.16.152'}
여가,워크숍 컨설팅,무료 체험,"기업체, 단체 워크숍 무료상담 신청하세요!",2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae1020d706a0000636aeda,캠페인방문완료,2,web,온라인판매,무료 체험,0.0,2023-02-01,http://lp.iam2.co.kr/landing_thearam_0305/,,24hdp1xv3u9tz6fb,7.0,8.0,9.0,10,12.0,"{'value': 2, 'url': 'https://m.n-shine.com/product/detail.html?product_no=761&amp;fbclid=PAZXh0bgNhZW0BMAABpsIjsj8RlEYjJDsifPCWY-SPX_9cJJJS5DMUIi1SblWWVkztP00d6RfVZg_aem_km_pJMjo_8aM8INN8v0DxA', 'key': 'm.n-shine.com/product/detail.html', 'ip_address': '122.37.16.152', 'UTMConent': '자연으로 피부를 빛나게 하다 ■ Natural Shine homepage■', 'Referrer': 'http://instagram.com/', 'PageTitle': '자연으로 피부를 빛나게 하다 ■ Natural Shine homepage■'}",{'ip': '122.37.16.152'}
여가,워크숍 컨설팅,무료 체험,"기업체, 단체 워크숍 무료상담 신청하세요!",2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae101c6bf68b00074449b7,페이지방문완료,1,web,온라인판매,무료 체험,0.0,2023-02-01,http://lp.iam2.co.kr/landing_thearam_0305/,,24hdp1xv3u9tz6fb,7.0,8.0,9.0,10,12.0,"{'value': 1, 'url': 'https://m.n-shine.com/product/detail.html?product_no=761&amp;fbclid=PAZXh0bgNhZW0BMAABpsIjsj8RlEYjJDsifPCWY-SPX_9cJJJS5DMUIi1SblWWVkztP00d6RfVZg_aem_km_pJMjo_8aM8INN8v0DxA', 'ip_address': '122.37.16.152', 'Referrer': 'http://instagram.com/'}",{'ip': '122.37.16.152'}
여가,워크숍 컨설팅,무료 체험,"기업체, 단체 워크숍 무료상담 신청하세요!",2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae101cd706a0000636adde,visited_url,http://lp.iam2.co.kr/landing_thearam_0305/,web,온라인판매,무료 체험,0.0,2023-02-01,http://lp.iam2.co.kr/landing_thearam_0305/,,24hdp1xv3u9tz6fb,7.0,8.0,9.0,10,12.0,"{'value': 'https://m.n-shine.com/product/detail.html?product_no=761&amp;fbclid=PAZXh0bgNhZW0BMAABpsIjsj8RlEYjJDsifPCWY-SPX_9cJJJS5DMUIi1SblWWVkztP00d6RfVZg_aem_km_pJMjo_8aM8INN8v0DxA', 'referrer': 'http://instagram.com/', 'page_title': '자연으로 피부를 빛나게 하다 ■ Natural Shine homepage■', 'ip_address': '122.37.16.152'}",{'ip': '122.37.16.152'}
,,,,2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae101cd706a0000636addd,사이트방문완료,1,web,,,,,,,24hdp1xv3u9tz6fb,,,,,,"{'value': 1, 'ip_address': '122.37.16.152', 'URL': 'https://m.n-shine.com/product/detail.html?product_no=761&amp;fbclid=PAZXh0bgNhZW0BMAABpsIjsj8RlEYjJDsifPCWY-SPX_9cJJJS5DMUIi1SblWWVkztP00d6RfVZg_aem_km_pJMjo_8aM8INN8v0DxA', 'Referrer': 'http://instagram.com/'}",{'ip': '122.37.16.152'}
여가,워크숍 컨설팅,무료 체험,"기업체, 단체 워크숍 무료상담 신청하세요!",2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae10173c6fe600064e3cbb,캠페인방문완료,2,web,온라인판매,무료 체험,0.0,2023-02-01,http://lp.iam2.co.kr/landing_thearam_0305/,,24hdp1xv3u9tz6fb,7.0,8.0,9.0,10,12.0,"{'value': 2, 'url': 'https://m.n-shine.com/product/event.html?cate_no=202', 'key': 'm.n-shine.com/product/event.html', 'ip_address': '122.37.16.152', 'UTMConent': '자연으로 피부를 빛나게 하다 ■ Natural Shine homepage■', 'Referrer': 'https://m.n-shine.com/product/list.html?cate_no=107', 'PageTitle': '자연으로 피부를 빛나게 하다 ■ Natural Shine homepage■'}",{'ip': '122.37.16.152'}
,,,,2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae10163c6fe600064e3cb1,스트롤다운,75,web,,,,,,,24hdp1xv3u9tz6fb,,,,,,"{'value': '75', 'price': 1, 'ip_address': '122.37.16.152'}",{'ip': '122.37.16.152'}
여가,워크숍 컨설팅,무료 체험,"기업체, 단체 워크숍 무료상담 신청하세요!",2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae1016643615000c001793,visited_url,http://lp.iam2.co.kr/landing_thearam_0305/,web,온라인판매,무료 체험,0.0,2023-02-01,http://lp.iam2.co.kr/landing_thearam_0305/,,24hdp1xv3u9tz6fb,7.0,8.0,9.0,10,12.0,"{'value': 'https://m.n-shine.com/product/event.html?cate_no=202', 'referrer': 'https://m.n-shine.com/product/list.html?cate_no=107', 'page_title': '자연으로 피부를 빛나게 하다 ■ Natural Shine homepage■', 'ip_address': '122.37.16.152'}",{'ip': '122.37.16.152'}
,,,,2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae10166bf68b000744495d,스트롤다운,25,web,,,,,,,24hdp1xv3u9tz6fb,,,,,,"{'value': '25', 'price': 1, 'ip_address': '122.37.16.152'}",{'ip': '122.37.16.152'}
여가,워크숍 컨설팅,무료 체험,"기업체, 단체 워크숍 무료상담 신청하세요!",2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae10166bf68b000744495a,페이지방문완료,1,web,온라인판매,무료 체험,0.0,2023-02-01,http://lp.iam2.co.kr/landing_thearam_0305/,,24hdp1xv3u9tz6fb,7.0,8.0,9.0,10,12.0,"{'value': 1, 'url': 'https://m.n-shine.com/product/event.html?cate_no=202', 'ip_address': '122.37.16.152', 'Referrer': 'https://m.n-shine.com/product/list.html?cate_no=107'}",{'ip': '122.37.16.152'}
,,,,2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae10163c6fe600064e3c94,스트롤다운,50,web,,,,,,,24hdp1xv3u9tz6fb,,,,,,"{'value': '50', 'price': 1, 'ip_address': '122.37.16.152'}",{'ip': '122.37.16.152'}
,,,,2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae10163c6fe600064e3c93,사이트방문완료,1,web,,,,,,,24hdp1xv3u9tz6fb,,,,,,"{'value': 1, 'ip_address': '122.37.16.152', 'URL': 'https://m.n-shine.com/product/event.html?cate_no=202', 'Referrer': 'https://m.n-shine.com/product/list.html?cate_no=107'}",{'ip': '122.37.16.152'}
,,,,2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae1016643615000c00177e,스트롤다운,100,web,,,,,,,24hdp1xv3u9tz6fb,,,,,,"{'value': '100', 'price': 1, 'ip_address': '122.37.16.152'}",{'ip': '122.37.16.152'}
여가,워크숍 컨설팅,무료 체험,"기업체, 단체 워크숍 무료상담 신청하세요!",2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae10086bf68b0007444803,사이트전환완료,1,web,온라인판매,무료 체험,0.0,2023-02-01,http://lp.iam2.co.kr/landing_thearam_0305/,,24hdp1xv3u9tz6fb,7.0,8.0,9.0,10,12.0,"{'value': 1, 'url': 'https://m.n-shine.com/order/basket.html', 'product': 'undefined', 'ip_address': '122.37.16.152', 'category': 'undefined', 'Referrer': 'https://m.n-shine.com/order/basket.html'}",{'ip': '122.37.16.152'}
,,,,2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae10086bf68b0007444801,페이지전환완료,1,web,,,,,,,24hdp1xv3u9tz6fb,,,,,,"{'value': 1, 'ip_address': '122.37.16.152', 'URL': 'https://m.n-shine.com/order/basket.html', 'Referrer': 'https://m.n-shine.com/order/basket.html'}",{'ip': '122.37.16.152'}
,,,,2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae0ffc6bf68b0007444731,스트롤다운,50,web,,,,,,,24hdp1xv3u9tz6fb,,,,,,"{'value': '50', 'price': 1, 'ip_address': '122.37.16.152'}",{'ip': '122.37.16.152'}
,,,,2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae0ffc6bf68b000744472f,스트롤다운,25,web,,,,,,,24hdp1xv3u9tz6fb,,,,,,"{'value': '25', 'price': 1, 'ip_address': '122.37.16.152'}",{'ip': '122.37.16.152'}
,,,,2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae0ffc643615000c0014bf,스트롤다운,75,web,,,,,,,24hdp1xv3u9tz6fb,,,,,,"{'value': '75', 'price': 1, 'ip_address': '122.37.16.152'}",{'ip': '122.37.16.152'}
,,,,2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae0ffb3c6fe600064e39cf,사이트방문완료,1,web,,,,,,,24hdp1xv3u9tz6fb,,,,,,"{'value': 1, 'ip_address': '122.37.16.152', 'URL': 'https://m.n-shine.com/order/basket.html', 'Referrer': 'https://m.n-shine.com/order/basket.html'}",{'ip': '122.37.16.152'}
여가,워크숍 컨설팅,무료 체험,"기업체, 단체 워크숍 무료상담 신청하세요!",2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae0ffb3c6fe600064e39ce,visited_url,http://lp.iam2.co.kr/landing_thearam_0305/,web,온라인판매,무료 체험,0.0,2023-02-01,http://lp.iam2.co.kr/landing_thearam_0305/,,24hdp1xv3u9tz6fb,7.0,8.0,9.0,10,12.0,"{'value': 'https://m.n-shine.com/order/basket.html#none', 'referrer': 'https://m.n-shine.com/order/basket.html', 'page_title': '네츄럴샤인-자연으로 피부를 빛나게하다.', 'ip_address': '122.37.16.152'}",{'ip': '122.37.16.152'}
여가,워크숍 컨설팅,무료 체험,"기업체, 단체 워크숍 무료상담 신청하세요!",2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae0ffb643615000c0014b5,페이지방문완료,1,web,온라인판매,무료 체험,0.0,2023-02-01,http://lp.iam2.co.kr/landing_thearam_0305/,,24hdp1xv3u9tz6fb,7.0,8.0,9.0,10,12.0,"{'value': 1, 'url': 'https://m.n-shine.com/order/basket.html', 'ip_address': '122.37.16.152', 'Referrer': 'https://m.n-shine.com/order/basket.html'}",{'ip': '122.37.16.152'}
여가,워크숍 컨설팅,무료 체험,"기업체, 단체 워크숍 무료상담 신청하세요!",2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae0ffbd706a0000636aa76,캠페인방문완료,2,web,온라인판매,무료 체험,0.0,2023-02-01,http://lp.iam2.co.kr/landing_thearam_0305/,,24hdp1xv3u9tz6fb,7.0,8.0,9.0,10,12.0,"{'value': 2, 'url': 'https://m.n-shine.com/order/basket.html', 'key': 'm.n-shine.com/order/basket.html', 'ip_address': '122.37.16.152', 'UTMConent': '네츄럴샤인-자연으로 피부를 빛나게하다.', 'Referrer': 'https://m.n-shine.com/order/basket.html', 'PageTitle': '네츄럴샤인-자연으로 피부를 빛나게하다.'}",{'ip': '122.37.16.152'}
,,,,2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae0febd706a0000636a873,페이지전환완료,1,web,,,,,,,24hdp1xv3u9tz6fb,,,,,,"{'value': 1, 'ip_address': '122.37.16.152', 'URL': 'https://m.n-shine.com/order/basket.html', 'Referrer': 'https://m.n-shine.com/order/basket.html'}",{'ip': '122.37.16.152'}
여가,워크숍 컨설팅,무료 체험,"기업체, 단체 워크숍 무료상담 신청하세요!",2024-07-04T22:07:00.203Z,2,2024-08-03T11:11:34.000Z,66871d047f4f2b001b80e6b8,visitor,0,Republic of Korea,,,2024-08-03T11:06:01.392Z,66ae0feb3c6fe600064e37c3,사이트전환완료,1,web,온라인판매,무료 체험,0.0,2023-02-01,http://lp.iam2.co.kr/landing_thearam_0305/,,24hdp1xv3u9tz6fb,7.0,8.0,9.0,10,12.0,"{'value': 1, 'url': 'https://m.n-shine.com/order/basket.html', 'product': 'undefined', 'ip_address': '122.37.16.152', 'category': 'undefined', 'Referrer': 'https://m.n-shine.com/order/basket.html'}",{'ip': '122.37.16.152'}
